How have these changes impacted your quality of life?,,,,,,,,,,,,,,,,,,,,,,
Response,Topic,Subtopic,,Topic,Subtopic,Count,,Topic,Insights,Exemplar_1,Exemplar_2,Summary,,,,,,Prep data for dropdown,,,,
more commute time; long days and more,Negative impact on quality of life,Increased commute time - RTO negatively affecting work/life quality,,Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,20,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
"Not so good; Spend time on commute, less time to exercise",Negative impact on quality of life,Increased commute time - RTO negatively affecting work/life quality,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
There is minimal change. The most glaring one is the time taken to commute to & fro office; This time is eating away the productive time which could be better utilized,Negative impact on quality of life,Increased commute time - RTO negatively affecting work/life quality,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
My commute time is much longer.,Negative impact on quality of life,Increased commute time - RTO negatively affecting work/life quality,,,,164,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
"It might be too early to tell, but the back and forth changes have been tricky to fall into a true routine. Ideally 2 days on site works for me. But I moved a bit further out of the city due to costs of living and now spending more on gas money isn’t ideal.",Negative impact on quality of life,Increased commute time - RTO negatively affecting work/life quality,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
"It is way worse; Commuting every day is killing me, 2 hours in the car is such a waste of time",Negative impact on quality of life,Increased commute time - RTO negatively affecting work/life quality,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
"more travel, less time",Negative impact on quality of life,Increased commute time - RTO negatively affecting work/life quality,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
"We were a remote company to begin with and then we started to work from the lab. I appreciated within from home because it gave me flexibility to get other life tasks done more easily. At the same time, I missed being around colleagues and interacting more freely with others. Overall having flexibility was good for my quality of life, but not having solid relationships with my colleagues was hard for my quality of life.",Negative impact on quality of life,Negative impact on interactions and collaborations,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
"I have since been laid off but I was able to work completely remote and while that had a lot of benefits to my personal life I felt like I was professionally hindered by not working as closely with my peers, I also really missed the in person connections.",Negative impact on quality of life,Negative impact on interactions and collaborations,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
Less interaction with other agents; Conversation with other agents is always something I have enjoyed. Discussing new listings etc,Negative impact on quality of life,Negative impact on interactions and collaborations,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
major impact; harder to manage people and effort,Negative impact on quality of life,Negative impact on interactions and collaborations,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
less direct feedback from peers regarding market conditions and transactional changes,Negative impact on quality of life,Negative impact on interactions and collaborations,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
"I don’t like it, but we can’t work from home; Worried about Covid, but my job doesn’t allow work from home",Negative impact on quality of life,Negative impact on physical and mental health,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
I liked being able to work from home but in that role was often sitting for 8+ hours on the computer. This sedentary lifestyle was not good for my health and I much prefer being back in person where I can move. I do wish that there were more health and safety measures taken at school sites.,Negative impact on quality of life,Negative impact on physical and mental health,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
"It impacted on the stress levels and the health; During the pandemic my organization lost the profits, they were the market leaders even during pandemic they were the market leaders but they don't want to loose the market share and their position in the market, so they have stated giving high number of targets and achievements etc. because of that we employees use to under go lots of stress and no on time food or no regular office timings were there. It effected the employees health.",Negative impact on quality of life,Negative impact on physical and mental health,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
i work in healthcare at the frontline so there was no option for me to work from home. my quality of life decreased as the pandemic resulted in increasing numbers of patients in hospital and our workload got significantly heavier,Negative impact on quality of life,Negative impact on physical and mental health,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
"Pros:  ability to connect with folks in person, moving around more / getting steps in.  Cons: less flexibility, more regimented schedule, impact on the environment, more cost to get to work due to Tolls, etc.",Negative impact on quality of life,Negative impact on work-life balance,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
No personal time; Less interest in work,Negative impact on quality of life,Negative impact on work-life balance,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
"Poorly, I enjoyed flex work even before pandemic and while wfh it was fine but now the return to office does not have the original flex environment as it once did",Negative impact on quality of life,Negative impact on work-life balance,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
"negatively; from when i started on a new job, it was really hard for me to integrate when no one was in the office. it's especially hard as a new comer. For me now 6 months in, i'm trying to find a balance but to be honest with most people not in the office, i can't really justify going in frequently",Negative impact on quality of life,Negative impact on work-life balance,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
"Going into the office is only beneficial when it's for a specific meeting, mentor session or colleagues are in from out of town. Going just to go is not productive and is a time suck.; Working longer hours to make up for commute time, finding somewhere to work in the office and interruptions...",Negative impact on quality of life,Negative impact on work-life balance,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
I have had more demands in balancing life and work. The challenges Covid created around meeting life demands did not end with the pandemic. The “Covid period” was so long that we got into a groove and it permanently changed our family dynamics so my work life hasn’t simply gone back to normal. It has been a struggle to return to normalcy.,Negative impact on quality of life,Negative impact on work-life balance,,,,,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
It hasn't changed my quality of life. I have adjusted to the change.,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
It hasn’t,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
It’s been great; It’s been great,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
its great; no changes,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
No,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
No,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
No change,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
No change,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
No change,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
No change; Nothing,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
No impact to me.,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
Nothing,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
Quality of life is the same,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
"Currently not impacting me since i have a medical reason to work from home, so have an exemption",No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
There were no changes,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
My quality of life didn't change in any way,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
No impact,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
No change for me in that I continue to have quite a bit of flexibility around balancing work and life.,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
There have been no changed to my quality of life as my team allows members to decide where to work form.,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
Nothing changed; Wfh is more better,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
not much impacted work life balance is goos; work life balance is good nothing affected,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
Almost no changes I'm spending quality time with my family and also called the time with my office colleagues,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
we are not allowed to work remotely,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
it hasn't really; because i do the same thing i always have,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
"I prefer working in the office, so it does not impact my quality of life.",No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
"I am a virtual employee, so it has not directly impacted my quality of life",No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
since there is flexibility the impact is not a lot but rigid schedules could impact,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
No impact. I still need to travel to see people,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
did not affected at all,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
It has not impacted my quality of life. It has impacted quality of work as two key people moved out of the Palo Alto area.,No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
"Not really at impacting my quality of life. I have adjusted to the changes up and down the organization.. not better, just different; I am not in the office as much but my meetings with others not in the office are longer...it's a tradeoff in terms of productivity and different for every individual",No impact or change,No impact or change,,,,,,,,,,,,,,,,No impact or change,,,,
"remote work improves my quality of work experience by making it less burdensome to collaborate across continents. when i can check in from home at 6AM and 11PM, I accelerate the frequency of asynchronous interactions and double or triple collaborative efficiency. this reduces job stress and makes it easier for me to feel comfortable being home in the evenings and early mornings. remote work also makes a regular exercise routine more feasible because i don’t feel so much pressure to break my routine to handle urgent issues from Berlin or Hyderabad.",Positive impact on quality of life,Increased productivity levels due to hybrid/remote policy,changed T&ST,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"I feel when there's a good and balanced return to office policy, the work efficiency increases. This has certainly happened in my case wherein a change in environment brings the best out of me. Also, interacting with my colleagues is something that drives me to be better in work.",Positive impact on quality of life,Increased productivity levels due to hybrid/remote policy,changed T&ST,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
I like the flexibility for my own personal and professional schedule.  My productivity when working from home varies from week to week. Like not being tied to an office 4-5 days each week.,Positive impact on quality of life,Increased productivity levels due to hybrid/remote policy,changed T&ST,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"Well now there is less flexibility to structure your day and run errands. And the commute is back in the picture.; Well, it takes productive time out of your day, but honestly it's also kind of nice to have a mental buffer between work and home lives, allowing a nice context switch. Before, work just kind of melted into the evening time without a clear boundary, you know?",Positive impact on quality of life,Increased productivity levels due to hybrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
I got to know value of work and worked hard to reach my goals; Intially at covid times we dont have work at projects. Later i realised importance,Positive impact on quality of life,Increased productivity levels due to hybrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
It has been very positive. I feel it is less stressful and that I'm more productive working from home because there are fewer interruptions during the day. Most meetings are on Teams so I am still collaborating with my coworkers and direct reports.,Positive impact on quality of life,Increased productivity levels due to hybrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Positive; Can focus better on tasks at hand,Positive impact on quality of life,Increased productivity levels due to hybrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"The transition from work from home to work from office isn't easy. With return to office, I had to experience other problems like traffic issues, less productivity due to time spent on travel etc; I had to spend more time for unproductive activities and more stressful",Positive impact on quality of life,Increased productivity levels due to hybrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
yes; employees overall are more productive,Positive impact on quality of life,Increased productivity levels due to hybrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
I like to be in the office as the pace of collaboration is faster. Meetings can be impromptu and quick. Whiteboarding and brainstorming in a larger team is also easier in the office as you get facial and physical cues.; I think workingdemarcates my personal and work hours,Positive impact on quality of life,Increased productivity/work quality due to RTO,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"It's good to return to office; Increased collaboration with team members, networking has been improved",Positive impact on quality of life,Increased productivity/work quality due to RTO,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
I kinda like it. It’s easier to work with people face to face beaus having to set up time or sending a chat message and waiting for them to respond.; I meant it’s better.,Positive impact on quality of life,Increased productivity/work quality due to RTO,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
collaborations and online meetings are definitely boring. now much better; personal work and professional work are bit more balanced,Positive impact on quality of life,Increased productivity/work quality due to RTO,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"Massively improved my ability to balance work and personal responsibilities, allowing me to be a better person, in health as well as part of the family unit.",Positive impact on quality of life,Positive impact on physical and mental health,changed ST,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Improved it with more time for exercise and family activities. No stress from commuting. Lower cost of commuting. Lower wardrobe costs.,Positive impact on quality of life,Positive impact on physical and mental health,changed ST,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"For the better. I got back an hour and a half of my life every day to get more work done, exercise, spend time with my family, etc.",Positive impact on quality of life,Positive impact on physical and mental health,changed ST,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
The changes were good for my well being and the well being of all students in my classroom.,Positive impact on quality of life,Positive impact on physical and mental health,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Being able to WFH is a tremendous improvement in my quality of life and work life balance. I am happier and healthier,Positive impact on quality of life,Positive impact on physical and mental health,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"Actually I have an amazing work life balance, thanks to WFH. Commuting to the office would takes 2.5 hours of my time everyday. That time saving is helping me commit to fitness, or reading, or sometimes simply just lay down and get my energy back after an especially tough day",Positive impact on quality of life,Positive impact on physical and mental health,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"it has improved it in so many different ways. i'm not cold all the time due to being in an artic office, i no longer get migraines, i no longer spend 5+ hours a week commuting",Positive impact on quality of life,Positive impact on physical and mental health,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
it has been good. I like the mix of being in the office as well as saving on commute times on the days I work from home,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,changed ST,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
It has greatly improved my quality of life. I spend much less time driving to work and have time every day for physical exercise. My diet and general health are also better.,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,changed T&ST,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"We started by deciding that we are a remote first company, and build new org structure to make this possibile; we are working on high-class tech equipment + software (to reduce comms friction) with high-class software. Benefits wise to make sure the quality of life is there by sponsoring 2weeks of workation a year in other contry (folks can top-up the budget by flying together can combining the budget), give a ""build your own office space"" cash bonus where employees can buy anything what's even remotely related to creation of their own space at home. On top of that to make sure we have team vibe, when there's a new person joining the team, team is working side by side for 2-4 weeks together (no remote work during this time) to get to know each other but also to bond and make further communication easier is easier and more natural. Also each newcomer has mentoring buddy for the fist 90 days in a company. There's much more, but after deciding we are a remote-first company and then creating processes around pros and cons we achieved really good quality of work and life.",Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
equal priority for personal and professional life; In personal life we are able to take care of our family and,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"Good and bad. Great to able to spend more time with family and have flexibility with appointments and child care, but work creeps i firing off hours; Can get distracted with phone and feel pressure to complete work while kids are sleeping",Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
I have improved my time management; I got a proper time for my personal life and able to manage properly,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
It's great; Better work life balance,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Work-Life balance has been much better. I feel happier and more productive.,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
I think it’s okay. I’d prefer meeting people some days. Work from home some times erases boundaries between work and personal life. Other times it’s convenient; It feels like you’re working entire day sometimes. Sometimes you feel like you’re not working at all,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
better quality of life,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
I believe it's best solution for office workers.; A balanced work and life; I can speed less time on commuting; work more efficient.,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"It has improved it, as both my husband and I are fully remote and can live wherever we want.",Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"My quality of life is high. I am able to be flexible in organizing my work time and be available to address other aspects of my life and balance my career. However, it is sometimes hard to context switch between working at home and being in the office as it is difficult to avoid distractions.",Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
better less stressful; able to spend more time with children less time travelling to from work in traffic,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
I can spend more time with my family and friends. And work-life balance is good.,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Now Can spend time with friends and Family on daily basis and Can Save bit of travel time,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
